Track URI	Track Name	Artist URI(s)	Artist Name(s)	Album URI	Album Name	Album Artist URI(s)	Album Artist Name(s)	Album Release Date	Album Image URL	Disc Number	Track Number	Track Duration (ms)	Track Preview URL	Explicit	Popularity	Added By	Added At	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Time Signature
spotify:track:1hytid7rYXR9eLcOYpBZ0S	Sleeping and Lucid Dreaming	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	5	228580	https://p.scdn.co/mp3-preview/10394488095029615f76d113454bc60b0107a6d5?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:45Z	0.0785	0.00484	9	-40.085	1	0.0436	0.924	0.915	0.0711	0.0294	82.247	4
spotify:track:0rIidIENusaxw6RIDOikeN	Asian Zen Spa Music	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	6	234690	https://p.scdn.co/mp3-preview/fa51799ca01fa0f4a5ebf80920a7ca83c59b81c9?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:46Z	0.182	0.00776	2	-32.629	1	0.0495	0.641	0.842	0.0937	0.0384	133.295	3
spotify:track:65msrUnwk1pqF5Zmcrcy7L	Indian Tribe Dreams	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	7	234561	https://p.scdn.co/mp3-preview/cd42eecd24cc0b8ace6f7aee23db2a547d37888c?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:46Z	0.0934	0.0162	7	-33.431	1	0.0395	0.869	0.951	0.104	0.0338	86.821	4
spotify:track:6wHito8IkJv1qtz2Fh7ZMn	Mother Earth Music	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	8	234561	https://p.scdn.co/mp3-preview/1d1c4c555fae62b3a91641e126efa12659d9bcab?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:46Z	0.186	0.0325	9	-27.86	0	0.0498	0.904	0.948	0.125	0.0391	122.265	3
spotify:track:1omqKgSLBjCmLW3nbfRPf0	Harmony of Senses - Mindfulness	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	9	227979	https://p.scdn.co/mp3-preview/0e79932aed49c554cb50b8511e664c77c47dd37d?cid=9950ac751e34487dbbe027c4fd7f8e99	false	1	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:46Z	0.2	0.00243	9	-42.354	0	0.0502	0.964	0.808	0.0724	0.0365	50.795	4
spotify:track:6jjN0pFlKU0AmLhmfwmEIK	Balance Between Body & Soul	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	10	232670	https://p.scdn.co/mp3-preview/319727198cd8c765246fa7da58fb31a5d4af1749?cid=9950ac751e34487dbbe027c4fd7f8e99	false	1	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:46Z	0.0725	0.0266	5	-26.45	1	0.0551	0.897	0.951	0.104	0.0375	77.269	1
spotify:track:1sTVLpgFRUGnj4JoByD4T0	Crickets Summer Night	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	11	227979	https://p.scdn.co/mp3-preview/9db8052fbf7d10634af1c2990784648ef2913206?cid=9950ac751e34487dbbe027c4fd7f8e99	false	1	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:47Z	0.24	0.0023	2	-41.538	0	0.0448	0.615	0.961	0.0897	0.0729	68.305	5
spotify:track:2GHcAapM4Aj5UL1C4oTw1F	Insomnia Cure	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	12	230383	https://p.scdn.co/mp3-preview/363c209c4abb0f7d47a267b8f88dbb0018c73fab?cid=9950ac751e34487dbbe027c4fd7f8e99	false	1	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:47Z	0.085	0.00135	2	-42.878	1	0.0447	0.948	0.925	0.0904	0.0322	74.291	1
spotify:track:2iWJQ6S4QbVMbgvHy3tMIr	Find Inner Energy	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	13	230383	https://p.scdn.co/mp3-preview/472a8f7f4e6b7bc75f530077e1a04cd76171da6b?cid=9950ac751e34487dbbe027c4fd7f8e99	false	1	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:47Z	0.0638	0.141	4	-37.983	0	0.0646	0.931	0.924	0.114	0.0767	70.596	1
spotify:track:0pmwwfFB737SLf9nfIwg0R	Tantric Experience	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	spotify:album:2ZNfGr15IkCHxKQjsIhFP6	Indian Meditation Music - Spiritual Healing, Yoga, Tantra, Chakra Balance, Relaxation	spotify:artist:1bF3IgxBQw61FRqeyuvq7b	Meditation Mantras Guru	2017-12-12	https://i.scdn.co/image/ab67616d0000b273067b5fab70214312b40af5dd	1	14	234021	https://p.scdn.co/mp3-preview/7533fb58c10a82b713bf5e658fea66115f55ec8a?cid=9950ac751e34487dbbe027c4fd7f8e99	false	2	spotify:user:31hmjzhlbj4ehjd6qrmh7v4rv6oi	2022-02-15T08:33:50Z	0.102	0.0142	2	-29.125	0	0.0427	0.98	0.921	0.0917	0.0373	89.56	5
